issue_type,service_id,client_id,client_fio,service_name,details
service_has_no_active_rows_for_final_clients,,,,Step-1 разовое посещение без клубной карты,Active rows for final clients: 0; historical fallback rows selected: 5.
service_has_no_active_rows_for_final_clients,,,,Йога (персональная тренировка) 12 пос. (группа до 4 человек),Active rows for final clients: 0; historical fallback rows selected: 0.
service_has_no_rows_for_final_clients,,,,Йога (персональная тренировка) 12 пос. (группа до 4 человек),No active or historical sale rows were found for clients from final import_zayavki.
service_has_no_active_rows_for_final_clients,,,,Йога (персональная тренировка) 12 пос. VIP (1 человек),Active rows for final clients: 0; historical fallback rows selected: 0.
service_has_no_rows_for_final_clients,,,,Йога (персональная тренировка) 12 пос. VIP (1 человек),No active or historical sale rows were found for clients from final import_zayavki.
service_has_no_active_rows_for_final_clients,,,,Йога (персональная тренировка) 8 пос. (группа до 4 человек),Active rows for final clients: 0; historical fallback rows selected: 0.
service_has_no_rows_for_final_clients,,,,Йога (персональная тренировка) 8 пос. (группа до 4 человек),No active or historical sale rows were found for clients from final import_zayavki.
service_has_no_active_rows_for_final_clients,,,,Йога (персональная тренировка) 8 пос. VIP (1 человек),Active rows for final clients: 0; historical fallback rows selected: 0.
service_has_no_rows_for_final_clients,,,,Йога (персональная тренировка) 8 пос. VIP (1 человек),No active or historical sale rows were found for clients from final import_zayavki.
service_has_no_active_rows_for_final_clients,,,,Йога в гамаках(при наличии клубной карты),Active rows for final clients: 0; historical fallback rows selected: 5.
